参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P0-64,0x2040,保留,DRV's Parameter  P0-64,UINT,16,ro,T,,,,,P0,—,
P0-65,0x2041,DRV's Parameter  P0-65,DRV's Parameter  P0-65,UDINT,32,ro,T,—,—,,—,P0,—,
P0-66,0x2042,DRV's Parameter  P0-66,DRV's Parameter  P0-66,UDINT,32,ro,T,—,—,,—,P0,—,
P0-67,0x2043,DRV's Parameter  P0-67,DRV's Parameter  P0-67,UDINT,32,ro,T,—,—,,—,P0,—,
P0-68,0x2044,DRV's Parameter  P0-68,DRV's Parameter  P0-68,UDINT,32,ro,T,—,—,,—,P0,—,
P0-69,0x2045,DRV's Parameter  P0-69,DRV's Parameter  P0-69,UDINT,32,ro,T,—,—,,—,P0,—,
P0-70,0x2046,DRV's Parameter  P0-70,DRV's Parameter  P0-70,UDINT,32,ro,T,—,—,,—,P0,—,
P0-71,0x2047,DRV's Parameter  P0-71,DRV's Parameter  P0-71,UDINT,32,ro,T,—,—,,—,P0,—,
P0-72,0x2048,DRV's Parameter  P0-72,DRV's Parameter  P0-72,UDINT,32,ro,T,—,—,,—,P0,—,
P0-73,0x2049,DRV's Parameter  P0-73,DRV's Parameter  P0-73,UDINT,32,ro,T,—,—,,—,P0,—,
P0-74,0x204A,DRV's Parameter  P0-74,DRV's Parameter  P0-74,UDINT,32,ro,T,—,—,,—,P0,—,
P0-75,0x204B,DRV's Parameter  P0-75,DRV's Parameter  P0-75,UDINT,32,ro,T,—,—,,—,P0,—,
P0-76,0x204C,DRV's Parameter  P0-76,DRV's Parameter  P0-76,UDINT,32,ro,T,—,—,,—,P0,—,
P1-00,0x2100,▲,DRV's Parameter  P1-00,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x31F2 |,| 0x1042 |,| PT |,P1,—,| X | 脉冲型式 | Z | 逻辑型式 | Y | 滤波宽度 | U | 滤波宽度 | X：脉冲型式 | 0：AB相脉冲列 | 1：正转脉冲列及逆转脉冲列 | 2：脉冲列 + 符号 | 其他设定：保留 | Z：逻辑型式 | 0：正逻辑 | 1：负逻辑 | 在数字电路中，通常是以0与1两种状态来表示电压高低。「正逻辑」(Positive Logic)中，高电压以1表示，低电压以0表示；反之，「负
P1-01,0x2101,●,DRV's Parameter  P1-01,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x112F |,"| 0x0000 (A3-M, A3-L) | 0x000B (A3-F) | 0x000C (A3-E) |",| All |,P1,—,| YX | 控制模式设定 | Z | 方向控制 | - | - | U | DIO设定值控制 | YX：控制模式设定 | Mode | PT | PR | S | T | Sz | Tz | 00 | ▲ | 01 | ▲ | 02 | ▲ | 03 | ▲ | 04 | ▲ | 05 | ▲ | 双重混合模式 | 06 | ▲ | ▲ | 07 | ▲ | ▲ | 08 | ▲ | ▲ | 0
P1-02,0x2102,▲,DRV's Parameter  P1-02,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0011 |,| 0x0000 |,| All |,P1,—,| X | 关闭 / 开启速度限制功能 | UZ | 保留 | Y | 关闭 / 开启扭矩限制功能 | - | - | X：关闭 / 开启速度限制功能 | 0：关闭速度限制功能 | 1：开启速度限制功能(只在T / Tz模式有效) | 速度限制设定方块图如下： | Y：关闭 / 开启扭矩限制功能 | 0：关闭扭矩限制功能 | 1：开启扭矩限制功能 | 扭矩限制设定方块图如下： | 用户想要使用扭矩
